category,alternative1,alternative2,alternative3
Major Roman Battles,Battle of Cannae,Battle of Actium,Battle of Teutoburg Forest
Famous Roman Emperors,Julius Caesar,Augustus,Constantine the Great
Construction Projects under Emperors,Hadrian's Wall,Nero's Domus Aurea,Trajan's Forum
Architectural Innovations,Aqueducts,Concrete Roads,The Colosseum
Roman Gods and Goddesses,Jupiter,Mars,Venus
Significant Roman Laws,Twelve Tables,Lex Hortensia,Lex Canuleia
Roman Military Units,Legion,Centuria,Maniple
Famous Roman Philosophers,Seneca,Marcus Aurelius,Cicero
Roman Festivals and Holidays,Saturnalia,Lupercalia,Floralia
Architecture in Rome,Colosseum,Pantheon,Forum Romanum 
Structure of the Roman Republic,Senate,Consuls,Tribunes
Key Roman Inventions,Concrete,Aqueducts,Julian Calendar
Important Roman Women,Livia Drusilla,Claudia Quinta,Julia Domna
Roman Provinces,Hispania,Britannia,Aegyptus
Roman Entertainment,Gladiatorial Games,Chariot,Theatre Performances
The Roman Army,Legionaries,Testudo formation,Centurions
Roman Economy, Slave Trade, Grain dole, Tax farming
Founding Myths of Rome,Romulus and Remus,Aeneas' Journey from troy, Rape of the Sabine Women
Roman Food and Dining,Garum,Triclinium,Bread and circuses
Famous Roman Roads,Appian Way,Via Flaminia,Via Aurelia
Roman Naval Power,Quinquereme, Punic Wars, Corvus boarding device
Enemies of Rome,Carthage,Germanic Tribes,Parthian Empire
Daily Life of a Roman Citizen,Toga,Public Baths,Patron-client system
Iconic Roman Emperors,Augustus,Nero,Marcus Aurelius
